01-16-2020,21:30,NZD,Business NZ Manufacturing Index,Low,,,51.4
01-17-2020,00:03,AUD,HIA New Home Sales m/m,Low,,,-0.5%
01-17-2020,02:00,CNY,Unemployment Rate,Low,,,5.1%
01-17-2020,02:00,CNY,Fixed Asset Investment ytd/y,Medium,5.2%,5.2%,5.2%
01-17-2020,02:00,CNY,Retail Sales y/y,Low,7.9%,7.9%,8.0%
01-17-2020,02:00,CNY,Industrial Production y/y,Medium,6.2%,6.2%,6.2%
01-17-2020,02:00,CNY,NBS Press Conference,Low,,,
01-17-2020,02:00,CNY,GDP q/y,High,6.0%,6.0%,6.0%
01-17-2020,04:30,JPY,Tertiary Industry Activity m/m,Low,1.0%,1.0%,-4.6%
01-17-2020,07:30,CHF,PPI m/m,Low,0.2%,0.2%,-0.4%
01-17-2020,07:45,EUR,French Gov Budget Balance,Low,,,-107.7B
01-17-2020,09:00,EUR,Italian Trade Balance,Low,7.22B,7.22B,8.06B
01-17-2020,09:00,EUR,Current Account,Low,34.3B,34.3B,32.4B
01-17-2020,09:30,GBP,Retail Sales m/m,High,0.8%,0.8%,-0.6%
01-17-2020,10:00,EUR,Final Core CPI y/y,Low,1.3%,1.3%,1.3%
01-17-2020,10:00,EUR,Final CPI y/y,Low,1.3%,1.3%,1.3%
01-17-2020,13:30,CAD,Foreign Securities Purchases,Low,12.32B,12.32B,11.32B
01-17-2020,13:30,USD,Building Permits,Medium,1.47M,1.47M,1.48M
01-17-2020,13:30,USD,Housing Starts,Low,1.38M,1.38M,1.37M
01-17-2020,14:00,USD,FOMC Member Harker Speaks,Medium,,,
01-17-2020,14:15,USD,Industrial Production m/m,Low,0.0%,0.0%,1.1%
01-17-2020,14:15,USD,Capacity Utilization Rate,Low,77.2%,77.2%,77.3%
01-17-2020,15:00,USD,Prelim UoM Consumer Sentiment,Medium,99.2,99.2,99.2
01-17-2020,15:00,USD,Prelim UoM Inflation Expectations,Low,,,2.4%
01-17-2020,15:00,USD,JOLTS Job Openings,Low,7.27M,7.27M,7.27M
01-17-2020,17:45,USD,FOMC Member Quarles Speaks,Low,,,
01-17-2020,22:03,USD,Treasury Currency Report,Medium,,,
