RULE,OPERATION,SYMBOL,STARTMONTH,OCCURENCEDAYINWEEK,STARTDAY,STARTTIME,ENDMONTH,ENDOCCURENCEDAYINWEEK,ENDDAY,ENDTIME,FREQDAY,SAMEBAR,TIMEBETWEENSESSION, TIMEZONE
H,BUYSELL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
A,BUYSELL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
