RULE,OPERATION,SYMBOL,STARTMONTH,OCCURENCEDAYINWEEK,STARTDAY,STARTTIME,ENDMONTH,ENDOCCURENCEDAYINWEEK,ENDDAY,ENDTIME,SAMEBAR, FREQDAY,TIMEBETWEENSESSION, TIMEZONE
C,BUYSELL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
H,BUYSELL,,-1,-1,1,8:00,-1,-1,-1,23:00,1,-1,-1,0
B,BUYSELL,,-1,-1,1,8:00,-1,-1,-1,23:00,-1,1,120,0
J,BUYSELL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,0
K,BUYSELL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,undefined
A,BUYSELL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
G,BUYSELL,,-1,-1,-1,-1,-1,-1,-1,-1,-1,240,-1,0
