B_NAME,B_OPERATION,B_STARTRULE,B_BUYRULE,B_SELLRULE,B_EXITBUYRULE,B_EXITSELLRULE,B_EXITRULE,B_ILOT,B_MAXLOT,B_MAXCOUNT,B_DIRECTION, B_DIRECTIONTYPE, B_RECOVERYMODE,B_RECOVERYVALUE,B_PIPSTEP,B_TIMESTEP,B_ORDERTYPE,B_KEEPBUYSELL,B_ONEORDERPERBAR,B_EXITMODE,B_MAXTIME,B_HEDGEMAGNITUDE,B_MINPROFIT,B_BUYMINPROFIT,B_SELLMINPROFIT,B_TP,B_TS,B_SL,B_BUYTP,B_BUYTS,B_BUYSL,B_SELLTP,B_SELLTS,B_SELLSL,B_BUYLOTTP,B_BUYLOTTS,B_BUYLOTSL,B_SELLLOTTP,B_SELLLOTTS,B_SELLLOTSL
strategy_K_PIVOT_GRID,BUYSELL,C,C,C,C,C,C,0.1,6,12,FORWARD,LEVEL,K,50,50,0,MONO,FALSE,FALSE,EXITANY,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGH_LOW_H4_BOX,BUYSELL,H,H,H,H,H,H,0.1,6,12,FORWARD,LEVEL,K,50,50,0,MONO,FALSE,TRUE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGH_LOW_OF_DAY,BUYSELL,B,B,B,B,B,B,0.1,6,12,FORWARD,LEVEL,K,50,20,0,MONO,FALSE,TRUE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIVOT_PINBAR,BUYSELL,J,J,J,J,J,J,1,1,1,BACKWARD,MINMAX,C,1,10,60,MONO,FALSE,FALSE,EXITANY,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0
RSI_2P_H1,BUYSELL,K,K,K,K,K,K,0.5,5,1,FORWARD,LEVEL,K,10,0,0,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProgressSimple,BUYSELL,A,A,A,A,A,A,0,0,1,ANY,MINMAX,C,1,10,10,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRACTAL_CROSS_D1,BUYSELL,G,G,G,G,G,G,0.3,1,10,ANY,LEVEL,C,30,30,10,MONO,FALSE,FALSE,EXITANY,0,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
