B_NAME,B_OPERATION,B_STARTRULE,B_BUYRULE,B_SELLRULE,B_EXITBUYRULE,B_EXITSELLRULE,B_EXITRULE,B_ILOT,B_MAXLOT,B_MAXCOUNT,B_DIRECTION, B_DIRECTIONTYPE, B_RECOVERYMODE,B_RECOVERYVALUE,B_PIPSTEP,B_TIMESTEP,B_ORDERTYPE,B_KEEPBUYSELL,B_ONEORDERPERBAR,B_EXITMODE,B_MAXTIME,B_HEDGEMAGNITUDE,B_MINPROFIT,B_BUYMINPROFIT,B_SELLMINPROFIT,B_TP,B_TS,B_SL,B_BUYTP,B_BUYTS,B_BUYSL,B_SELLTP,B_SELLTS,B_SELLSL,B_BUYLOTTP,B_BUYLOTTS,B_BUYLOTSL,B_SELLLOTTP,B_SELLLOTTS,B_SELLLOTSL
Jurex_LV,BUYSELL,J,J,J,J,J,J,1,3,1,BACKWARD,LEVEL,M,1,3,1,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,5,10
Jurex_HV,BUYSELL,C,C,C,C,C,C,1,3,1,BACKWARD,LEVEL,M,1,3,1,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,20,100,0,0,0,0,0,0,0,0,0,0,0,0
Jurex,BUYSELL,B,B,B,B,B,B,0.5,1,3,ANY,LEVEL,C,1,3,1,MONO,FALSE,FALSE,EXITANY,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BuySell,BUYSELL,H,H,H,H,H,H,0.1,3.4,8,BACKWARD,MINMAX,D,4,15,15,HEDGE,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strategy_C_0,BUYSELL,A,A,A,A,A,A,0.1,1,4,FORWARD,LEVEL,M,0.1,40,40,MONO,FALSE,FALSE,EXITANY,0,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
