B_NAME,B_OPERATION,B_STARTRULE,B_BUYRULE,B_SELLRULE,B_EXITBUYRULE,B_EXITSELLRULE,B_EXITRULE,B_ILOT,B_MAXLOT,B_MAXCOUNT,B_DIRECTION, B_DIRECTIONTYPE, B_RECOVERYMODE,B_RECOVERYVALUE,B_PIPSTEP,B_TIMESTEP,B_ORDERTYPE,B_KEEPBUYSELL,B_ONEORDERPERBAR,B_EXITMODE,B_MAXTIME,B_HEDGEMAGNITUDE,B_MINPROFIT,B_BUYMINPROFIT,B_SELLMINPROFIT,B_TP,B_TS,B_SL,B_BUYTP,B_BUYTS,B_BUYSL,B_SELLTP,B_SELLTS,B_SELLSL,B_BUYLOTTP,B_BUYLOTTS,B_BUYLOTSL,B_SELLLOTTP,B_SELLLOTTS,B_SELLLOTSL
RSI_2_REVERSAL,BUYSELL,K,K,K,K,K,K,0.1,0,2,BACKWARD,LEVEL,C,20,30,60,MONO,FALSE,FALSE,EXITANY,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMA_PARABOLIC_SAR,SELL,W,W,W,W,W,W,0.1,1,1,ANY,LEVEL,C,1,10,10,MONO,FALSE,FALSE,EXITANY,0,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA_RSI_SCALPING,BUYSELL,U,U,U,U,U,U,0.1,1,1,ANY,LEVEL,C,1,10,10,MONO,FALSE,FALSE,EXITANY,0,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMA20_SAR,BUYSELL,V,V,V,V,V,V,0.1,0,6,BACKWARD,LEVEL,F,1,10,0,MONO,FALSE,TRUE,EXITANY,2400,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VELOCITY_M5,BUYSELL,D,D,D,D,D,D,0.1,0,1,ANY,MINMAX,C,1,0,20,MONO,FALSE,FALSE,EXITANY,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,10
BAR_TOPPED,BUYSELL,Q,Q,Q,Q,Q,Q,0.1,0,1,ANY,LEVEL,C,1,0,20,MONO,FALSE,FALSE,EXITANY,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0
BAR_CORRECTION,BUYSELL,P,P,P,P,P,P,0.1,0,1,ANY,LEVEL,C,1,10,10,MONO,FALSE,TRUE,EXITANY,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA_BULL_BEAR,BUYSELL,L,L,L,L,L,L,0.1,0,1,ANY,LEVEL,C,1,0,0,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAR_QUAD,BUYSELL,O,O,O,O,O,O,0.1,0,1,ANY,LEVEL,C,1,0,0,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAR_ONLY,BUYSELL,N,N,N,N,N,N,0,0,1,ANY,LEVEL,C,0,10,60,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_S,BUYSELL,M,M,M,M,M,M,0,0,1,ANY,LEVEL,K,10,0,0,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H_L_DAY,BUYSELL,R,R,R,R,R,R,0,0,1,FORWARD,LEVEL,K,30,30,0,MONO,FALSE,TRUE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H_L_H4_BOX,BUYSELL,H,H,H,H,H,H,0,0,10,FORWARD,MINMAX,C,50,30,60,MONO,FALSE,TRUE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0
H_L_WEEK,BUYSELL,B,B,B,B,B,B,0,0,1,FORWARD,LEVEL,K,30,30,0,MONO,FALSE,TRUE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_T_C,BUYSELL,F,F,F,F,F,F,0.8,0,1,ANY,LEVEL,C,30,0,60,MONO,FALSE,FALSE,EXITANY,8640,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAY_G_R_Candle,BUYSELL,I,I,I,I,I,I,0,0,1,ANY,LEVEL,C,30,0,10,MONO,FALSE,TRUE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,BUYSELL,A,A,A,A,A,A,0.2,0,1,ANY,LEVEL,C,10,30,10,MONO,FALSE,FALSE,EXITANY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
